1;38;17973;12
2;42;67230;14
3;46;27232;20
4;21;23564;4
5;29;51993;5
6;9;73400;19
7;31;45985;17
8;46;78792;11
9;22;42197;13
10;23;41182;19
11;25;55979;9
12;12;95004;10
13;16;81868;17
14;47;91670;18
15;50;44129;20
16;6;69137;2
17;32;87430;10
18;14;79359;5
19;25;11395;19
20;23;25131;14
21;35;11540;10
22;3;83859;6
23;12;84243;8
24;33;20473;7
25;44;82639;8
26;25;68494;15
27;35;93741;18
28;33;97210;20
29;25;35775;8
30;4;97255;18
31;39;48917;4
32;29;24909;3
33;23;48263;3
34;24;57097;8
35;1;32964;2
36;34;19685;4
37;49;88878;20
38;19;89646;2
39;27;57613;16
40;6;74240;7
41;40;88175;18
42;6;55538;20
43;16;26055;10
44;13;61346;17
45;38;83279;14
46;4;19619;4
47;2;95508;2
48;9;98828;8
49;37;85550;4
50;42;37202;11
